CSD,Period,OriginalValue
Calgary,2021,7799312.914
"Mountain View County",2019,556286.0453
"Mountain View County",2020,479812.329
"Mountain View County",2021,557966.4854
Camrose,2019,3558.46253
Camrose,2020,4369.77215
Camrose,2021,2735.15876
"Provost No. 52",2021,42838.73311
"Smoky River No. 130",2019,23979.945
"Smoky River No. 130",2020,16419.039
"Smoky River No. 130",2021,8892.239
"Vermilion River County",2019,11746.016
"Vermilion River County",2020,21828.53319
"Vermilion River County",2021,26030.3211
"Northern Sunrise County",2019,636288.9938
"Northern Sunrise County",2020,625585.0393
"Northern Sunrise County",2021,733224.537
"Big Lakes County",2019,297582.5184
"Big Lakes County",2020,222967.2695
"Big Lakes County",2021,222804.1459
"Opportunity No. 17",2019,70088.76918
"Opportunity No. 17",2020,83041.6386
"Opportunity No. 17",2021,71882.60895
"Lac Ste. Anne County",2019,24021.84456
"Lac Ste. Anne County",2020,2433.4773
"Lac Ste. Anne County",2021,337.46287
"Birch Hills County",2019,11365.168
"Birch Hills County",2020,9980.424
"Birch Hills County",2021,11215.6841
"Saddle Hills County",2019,787186.7145
"Saddle Hills County",2020,803572.8958
"Saddle Hills County",2021,891807.4907
"Fairview No. 136",2019,26684.197
"Fairview No. 136",2020,19097.821
"Fairview No. 136",2021,19324.55481
"Grande Prairie",2019,241460.0459
"Grande Prairie",2020,245543.4303
"Grande Prairie",2021,248584.2742
"Drayton Valley",2019,19145.32
"Drayton Valley",2020,18354.5
"Drayton Valley",2021,19614.44
"Brazeau County",2019,259931.5661
"Brazeau County",2020,210557.3317
"Brazeau County",2021,297347.6928
"Parkland County",2019,9882713.275
"Parkland County",2020,7811413.76
"Parkland County",2021,6304807.243
"Lloydminster (Part)",2019,154143.8988
"Lloydminster (Part)",2020,159374.9308
"Lloydminster (Part)",2021,157204.6599
"Stony Plain",2019,454.64228
"Stony Plain",2020,659.24279
"Stony Plain",2021,1766.22612
"Strathcona County",2019,8975171.572
"Strathcona County",2020,8790855.365
"Strathcona County",2021,8981161.752
"Sturgeon County",2019,2470521.168
"Sturgeon County",2020,2776039.92
"Sturgeon County",2021,2597310.661
"Mackenzie County",2019,402216.9233
"Mackenzie County",2020,312053.9867
"Mackenzie County",2021,365770.453
"Improvement District No. 349",2019,3862307.517
"Improvement District No. 349",2020,4282653.208
"Improvement District No. 349",2021,4288231.567
"Clear Hills",2019,51632.783
"Clear Hills",2020,37802.883
"Clear Hills",2021,54094.97296
"Cold Lake 149",2019,1321655.894
"Cold Lake 149",2020,1173638.313
"Cold Lake 149",2021,1325685.384
Canmore,2019,89.15639
Canmore,2020,101.07292
Canmore,2021,106.30161
"Fox Creek",2019,8556.64652
"Fox Creek",2020,7918.16642
"Fox Creek",2021,8267.00124
"Greenview No. 16",2019,4847411.649
"Greenview No. 16",2020,4889530.332
"Greenview No. 16",2021,5239806.725
"Grande Prairie County No. 1",2019,1191396.348
"Grande Prairie County No. 1",2020,1244255.973
"Grande Prairie County No. 1",2021,1452972.006
"Cold Lake",2019,19175
"Cold Lake",2020,18146.5182
"Cold Lake",2021,18238.3041
"Bonnyville No. 87",2019,9215338.711
"Bonnyville No. 87",2020,8908537.146
"Bonnyville No. 87",2021,9169492.554
"St. Paul County No. 19",2019,444387.4162
"St. Paul County No. 19",2020,419209.9776
"St. Paul County No. 19",2021,470686.9371
"Improvement District No. 25 Willmore Wilderness",2019,61740.6909
"Improvement District No. 25 Willmore Wilderness",2020,67299.26924
"Improvement District No. 25 Willmore Wilderness",2021,50769.45941
Kananaskis,2019,42084.74138
Kananaskis,2020,32661.73709
Kananaskis,2021,31418.171
"Bighorn No. 8",2019,1447220.048
"Bighorn No. 8",2020,1256048.394
"Bighorn No. 8",2021,1578925.662
"Improvement District No.  9 Banff",2019,17.32123
"Improvement District No.  9 Banff",2020,22.68305
"Improvement District No.  9 Banff",2021,23.01589
"Wood Buffalo",2019,53000632.81
"Wood Buffalo",2020,51478548.97
"Wood Buffalo",2021,54450870.2
"Leduc County",2019,8854780.347
"Leduc County",2020,8658050.335
"Leduc County",2021,7614271.927
"Wetaskiwin County No. 10",2019,78419.4375
"Wetaskiwin County No. 10",2020,61246.9313
"Wetaskiwin County No. 10",2021,39870.21542
"Northern Lights County",2019,9420.042
"Northern Lights County",2020,10954.918
"Northern Lights County",2021,23314.94225
"High Level",2019,34368.2317
"High Level",2020,17607.7827
"High Level",2021,14894.0246
"Athabasca County",2019,128732.9262
"Athabasca County",2020,120735.83
"Athabasca County",2021,136460.48
"Lesser Slave River No.124",2019,110500.2434
"Lesser Slave River No.124",2020,123213.6797
"Lesser Slave River No.124",2021,237272.9343
"Lamont County",2019,18706.39
"Lamont County",2020,5229.48
"Lamont County",2021,19753.93557
"Yellowhead County",2019,2328656.822
"Yellowhead County",2020,2135811.533
"Yellowhead County",2021,2046541.009
Hinton,2019,172504.9284
Hinton,2020,173278.4264
Hinton,2021,190075.9657
Edson,2019,18948.45
Edson,2020,17500.2
Edson,2021,12397.46
Redwater,2019,10089.772
Redwater,2020,12475.933
Redwater,2021,11531.76617
"Red Deer",2019,162.112
"Red Deer",2020,197.5144
"Red Deer",2021,392.2872
Drumheller,2019,5.96
Drumheller,2020,7.5692
Drumheller,2021,0.8046
"Starland County",2019,142.00475
"Starland County",2020,127.01654
"Starland County",2021,1312.83602
"Kneehill County",2019,5030.81067
"Kneehill County",2020,3151.96716
"Kneehill County",2021,2732.88618
"Warner County No. 5",2019,1233.869
"Warner County No. 5",2020,1310.8722
"Warner County No. 5",2021,3909.32194
"Wainwright No. 61",2019,305.003
"Wainwright No. 61",2020,93.8849
"Wainwright No. 61",2021,29.04606
Wainwright,2019,40.8558
Wainwright,2020,37.60164
Wainwright,2021,40.28126
"Red Deer County",2019,1223.53227
"Red Deer County",2020,2746.12185
"Red Deer County",2021,1404.57621
"Wheatland County",2019,148266.1899
"Wheatland County",2020,89584.84404
"Wheatland County",2021,119559.6383
"Stettler County No. 6",2019,1235.47075
"Stettler County No. 6",2020,547.56517
"Stettler County No. 6",2021,407.21521
"Lacombe County",2019,17459.80242
"Lacombe County",2020,17599.10788
"Lacombe County",2021,17311.57543
Innisfail,2019,102.87109
Innisfail,2020,104.77203
Innisfail,2021,102.17019
"Flagstaff County",2019,9669.94504
"Flagstaff County",2020,11565.88958
"Flagstaff County",2021,3311.54884
Leduc,2019,8.94
Leduc,2020,11.58326
Leduc,2021,17.88
"Paintearth County No. 18",2019,1328.73849
"Paintearth County No. 18",2020,1043.35373
"Paintearth County No. 18",2021,535.9828
"Camrose County",2019,597.64794
"Camrose County",2020,2162.45011
"Camrose County",2021,439.14263
"Fort Saskatchewan",2019,11873.39369
"Fort Saskatchewan",2020,12983.72024
"Fort Saskatchewan",2021,10673.04463
Edmonton,2019,27115.94529
Edmonton,2020,25578.18215
Edmonton,2021,33240.68744
Lethbridge,2019,333.42177
Lethbridge,2020,355.961
Lethbridge,2021,263.6406
"Cardston County",2019,0.19668
"Cardston County",2020,0.04857
"Cardston County",2021,0.03308
"Rocky Mountain House",2019,2.98
"Rocky Mountain House",2020,0.4318
"Rocky Mountain House",2021,0.5662
"Newell County",2019,14573.3622
"Newell County",2020,20410.5564
"Newell County",2021,16328.54882
Brooks,2019,8.94
Brooks,2020,8.94
Alix,2019,226.79886
Alix,2020,232.291
Alix,2021,148.72882
"Ponoka County",2019,5442.374
"Ponoka County",2020,6140.24411
"Ponoka County",2021,5249.98967
"Lac la Biche County",2019,5757.69346
"Lac la Biche County",2020,6696.97784
"Lac la Biche County",2021,7220.27776
"Clearwater County",2019,29399.14709
"Clearwater County",2020,30110.18224
"Clearwater County",2021,29189.72312
"Minburn County No. 27",2019,296.0928
"Minburn County No. 27",2020,324.4922
"Minburn County No. 27",2021,415.3822
Whitecourt,2019,708.87018
Whitecourt,2020,680.86504
Whitecourt,2021,863.58701
Cochrane,2019,131.12
Cochrane,2020,113.38811
Cochrane,2021,45.35113
Airdrie,2019,2905.649
Airdrie,2020,2060.372
Airdrie,2021,2207.882
"Westlock County",2021,4028.9302
"Woodlands County",2019,6361.54755
"Woodlands County",2020,6108.04431
"Woodlands County",2021,6790.81387
"Beaver County",2019,222.44121
"Beaver County",2020,146.93903
"Beaver County",2021,171.44238
"Medicine Hat",2019,12590.18412
"Medicine Hat",2020,11501.0418
"Medicine Hat",2021,11048.8864
"Forty Mile County No. 8",2019,120.79698
"Forty Mile County No. 8",2020,79.62947
"Forty Mile County No. 8",2021,345.9035
"Cypress County",2019,6766.59779
"Cypress County",2020,11970.45021
"Cypress County",2021,12034.42008
"Willow Creek No. 26",2019,211.97902
"Willow Creek No. 26",2020,508.82546
"Willow Creek No. 26",2021,2624.43504
"Lethbridge County",2019,282.80081
"Lethbridge County",2020,396.936
"Lethbridge County",2021,1193.66969
"Taber, M.D.",2019,477.19485
"Taber, M.D.",2020,388.294
"Taber, M.D.",2021,728.6404
Taber,2019,1403.48166
Taber,2020,301.06046
Taber,2021,451.2316
"Pincher Creek No. 9",2019,3132.80129
"Pincher Creek No. 9",2020,4207.70457
"Pincher Creek No. 9",2021,3752.68956
"Pincher Creek",2019,563.1604
"Pincher Creek",2020,1450.8428
"Pincher Creek",2021,1578.8934
"Special Area No. 2",2019,23474.97384
"Special Area No. 2",2020,15416.60982
"Special Area No. 2",2021,6027.44068
"Special Area No. 3",2019,337.8724
"Special Area No. 3",2020,335.2202
"Special Area No. 3",2021,326.1312
"Special Area No. 4",2019,2078.8778
"Special Area No. 4",2020,2463.5958
"Special Area No. 4",2021,2436.12914
"Vulcan County",2019,1302.26
"Siksika 146",2019,187.74
"Siksika 146",2020,840.36
"Siksika 146",2021,768.84
"Foothills County",2019,1457.34516
"Foothills County",2020,1413.59876
"Foothills County",2021,1385.72801
"High River",2019,249.68496
"High River",2020,1101.23516
"High River",2021,1286.73211
"Rocky View County",2019,11055.76096
"Rocky View County",2020,10810.35468
"Rocky View County",2021,10646.31254
Calgary,2019,79408.69802
Calgary,2020,74304.59872
Calgary,2021,87191.06814
"Mountain View County",2019,14173.57762
"Mountain View County",2020,9220.418
"Mountain View County",2021,10515.71195
Camrose,2019,275.9033
Camrose,2020,298.03487
Camrose,2021,255.78949
"Provost No. 52",2021,329.84964
"Smoky River No. 130",2019,565.604
"Smoky River No. 130",2020,313.198
"Smoky River No. 130",2021,64.07
"Vermilion River County",2019,59.302
"Vermilion River County",2020,153.30312
"Vermilion River County",2021,165.71482
"Northern Sunrise County",2019,13928.8478
"Northern Sunrise County",2020,13370.6342
"Northern Sunrise County",2021,13033.29671
"Big Lakes County",2019,14495.6438
"Big Lakes County",2020,17014.6974
"Big Lakes County",2021,13006.62154
"Opportunity No. 17",2019,1171.35754
"Opportunity No. 17",2020,1389.01048
"Opportunity No. 17",2021,463.68889
"Lac Ste. Anne County",2019,589.40168
"Lac Ste. Anne County",2020,58.59604
"Lac Ste. Anne County",2021,3.61236
"Birch Hills County",2019,89.102
"Birch Hills County",2020,294.126
"Birch Hills County",2021,332.03458
"Saddle Hills County",2019,30452.46057
"Saddle Hills County",2020,30212.10748
"Saddle Hills County",2021,34898.77374
"Fairview No. 136",2019,150.49
"Fairview No. 136",2020,740.53
"Fairview No. 136",2021,824.99512
"Grande Prairie",2019,1996.9576
"Grande Prairie",2020,4339.30167
"Grande Prairie",2021,4315.42889
"Drayton Valley",2019,91.486
"Drayton Valley",2020,86.42
"Drayton Valley",2021,86.42
"Brazeau County",2019,8105.78029
"Brazeau County",2020,8240.73019
"Brazeau County",2021,15358.71527
"Parkland County",2019,59322.40942
"Parkland County",2020,38824.14835
"Parkland County",2021,29540.66699
"Lloydminster (Part)",2019,777.93198
"Lloydminster (Part)",2020,844.42144
"Lloydminster (Part)",2021,830.77811
"Stony Plain",2019,5.1399
"Stony Plain",2020,9.95439
"Stony Plain",2021,33.16651
"Strathcona County",2019,30426.75956
"Strathcona County",2020,29089.72653
"Strathcona County",2021,32561.10768
"Sturgeon County",2019,19488.44606
"Sturgeon County",2020,13050.02703
"Sturgeon County",2021,12300.62646
"Mackenzie County",2019,2320.43064
"Mackenzie County",2020,5009.21014
"Mackenzie County",2021,3816.65586
"Improvement District No. 349",2019,9357.62465
"Improvement District No. 349",2020,9857.53425
"Improvement District No. 349",2021,10041.46998
"Clear Hills",2019,226.778
"Clear Hills",2020,1376.462
"Clear Hills",2021,1829.34154
"Cold Lake 149",2019,1940.80546
"Cold Lake 149",2020,1716.40252
"Cold Lake 149",2021,1896.54948
Canmore,2019,0.4166
Canmore,2020,1.043
Canmore,2021,0.54415
"Fox Creek",2019,49.43671
"Fox Creek",2020,45.45513
"Fox Creek",2021,47.86297
"Greenview No. 16",2019,168693.6158
"Greenview No. 16",2020,148796.2255
"Greenview No. 16",2021,196994.2085
"Grande Prairie County No. 1",2019,14677.10315
"Grande Prairie County No. 1",2020,24052.74816
"Grande Prairie County No. 1",2021,29801.26292
"Cold Lake",2019,335.846
"Cold Lake",2020,195.935
"Cold Lake",2021,222.308
"Bonnyville No. 87",2019,51231.9964
"Bonnyville No. 87",2020,35610.32741
"Bonnyville No. 87",2021,36975.19185
"St. Paul County No. 19",2019,1442.5584
"St. Paul County No. 19",2020,1759.9284
"St. Paul County No. 19",2021,1792.91998
"Improvement District No. 25 Willmore Wilderness",2019,2338.406
"Improvement District No. 25 Willmore Wilderness",2020,501.02859
"Improvement District No. 25 Willmore Wilderness",2021,360.2224
Kananaskis,2019,1284.84667
Kananaskis,2020,1025.7008
Kananaskis,2021,959.04893
"Bighorn No. 8",2019,2941.08239
"Bighorn No. 8",2020,2873.99872
"Bighorn No. 8",2021,3319.87228
"Improvement District No.  9 Banff",2019,0.0602
"Improvement District No.  9 Banff",2020,0.23542
"Improvement District No.  9 Banff",2021,0.10758
"Wood Buffalo",2019,250069.5429
"Wood Buffalo",2020,222575.0938
"Wood Buffalo",2021,231810.4023
"Leduc County",2019,58017.0532
"Leduc County",2020,48358.70901
"Leduc County",2021,44069.64269
"Wetaskiwin County No. 10",2019,814.2552
"Wetaskiwin County No. 10",2020,1640.6092
"Wetaskiwin County No. 10",2021,1332.507
"Northern Lights County",2019,36.654
"Northern Lights County",2020,898.47
"Northern Lights County",2021,1184.00466
"High Level",2019,2665.4014
"High Level",2020,2027.741
"High Level",2021,1199.8076
"Athabasca County",2019,17941.5966
"Athabasca County",2020,8518.4194
"Athabasca County",2021,9681.68028
"Lesser Slave River No.124",2019,1984.29558
"Lesser Slave River No.124",2020,9725.69279
"Lesser Slave River No.124",2021,7190.91552
"Lamont County",2019,178.8
"Lamont County",2020,53.64
"Lamont County",2021,100.92157
"Yellowhead County",2019,54643.95157
"Yellowhead County",2020,49400.13616
"Yellowhead County",2021,64736.7002
Hinton,2019,12540.07453
Hinton,2020,4766.37232
Hinton,2021,4158.4711
Edson,2019,2748.2752
Edson,2020,1619.63
Edson,2021,1424.44
Redwater,2019,43.21
Redwater,2020,362.368
Redwater,2021,424.32816
